artist;song;duration_ms;year;tempo;genre;energy;key;loudness
The-Dream;Rockin' That Shit;221920;2009;78.005;hip hop, pop, R&B;0.62;8;-4.865
Jax Jones;You Don't Know Me - Radio Edit;213946;2016;124.007;hip hop, pop, Dance/Electronic;0.669;11;-6.054
Angie Martinez;If I Could Go! (feat. Lil' Mo & Sacario);244466;2019;195.685;pop;0.643;9;-7.486
Ariana Grande;One Last Time;197266;2014;125.026;pop;0.593;8;-5.036
ScHoolboy Q;Man Of The Year;216013;2014;111.959;hip hop, pop;0.861;3;-5.234
Jim Jones;We Fly High;236080;2006;120.226;hip hop, pop;0.8;1;-6.564
3LW;No More (Baby I'ma Do Right);263440;2000;88.933;pop, R&B;0.723;2;-7.08
Special D.;Come With Me - Radio Edit;185133;2004;139.982;pop;0.999;7;-5.077
Christina Aguilera;"Lady Marmalade - From ""Moulin Rouge"" Soundtrack";264893;2001;109.919;pop;0.801;5;-3.769
Mariah Carey;Don't Forget About Us - Radio Edit;233866;2005;143.555;pop, R&B;0.529;10;-6.816
Post Malone;Circles;215280;2019;120.042;hip hop;0.762;0;-3.497
DMX;X Gon' Give It To Ya;217586;2007;95.027;hip hop, pop;0.899;10;-3.09
Audioslave;Like a Stone;293960;2002;107.849;rock, metal;0.568;7;-5.477
D12;How Come;249533;2004;89.983;hip hop, pop, rock;0.858;9;-2.221
Nicki Minaj;Starships;210626;2012;125.008;hip hop, pop;0.716;11;-2.457
Britney Spears;I'm Not a Girl, Not Yet a Woman;231066;2001;78.996;pop;0.543;3;-6.857
Shayne Ward;That's My Goal;219600;2006;68.637;pop;0.508;2;-5.966
Nickelback;Savin' Me;219320;2005;164.007;rock, metal;0.815;3;-4.088
MGMT;Kids;302840;2007;122.961;rock;0.931;9;-3.871
Ashanti;Happy;262226;2002;89.488;hip hop, pop, R&B;0.515;2;-6.553
La Roux;In For The Kill;248626;2009;150.01;pop, Dance/Electronic;0.969;8;-0.276
Taylor Swift;Style;231000;2014;94.933;pop;0.791;7;-5.595
Calvin Harris;Outside (feat. Ellie Goulding);227266;2014;128.035;hip hop, pop, Dance/Electronic;0.823;2;-4.123
Mariah Carey;Thank God I Found You (feat. Joe & 98°);257360;1999;129.297;pop, R&B;0.532;10;-5.882
P!nk;Try;247906;2012;103.998;pop;0.628;2;-7.079
A Boogie Wit da Hoodie;Swervin (feat. 6ix9ine);189486;2018;93.023;hip hop;0.662;9;-5.239
Taylor Swift;Blank Space;231826;2014;95.997;pop;0.703;5;-5.412
Justin Timberlake;My Love (feat. T.I.);276160;2006;119.952;pop;0.68;11;-5.881
Shawn Mendes;Señorita;190799;2019;116.967;pop;0.548;9;-6.049
DJ Snake;Middle;220573;2016;104.981;hip hop, pop, Dance/Electronic;0.7;9;-5.331
Fat Joe;Get It Poppin' (feat. Nelly) - Radio Version;211320;2005;100.813;hip hop, pop;0.55;1;-7.558
